,date,code,open,close,high,low,adjust_open,adjust_close,adjust_high,adjust_low,volume,turnover
0,2016-01-04,002129,12.25,11.0,12.27,11.0,50.72,45.56,50.8,45.56,362934,1.58
1,2016-01-05,002129,10.47,10.6,10.93,10.03,43.38,43.91,45.27,41.56,476633,2.08
2,2016-01-06,002129,10.74,10.9,10.96,10.63,44.49,45.15,45.4,44.04,295242,1.29
3,2016-01-07,002129,10.65,9.82,10.66,9.81,44.12,40.69,44.16,40.65,129215,0.56
4,2016-01-08,002129,10.16,9.87,10.28,9.13,42.1,40.9,42.59,37.85,442560,1.93
5,2016-01-11,002129,9.66,8.88,9.76,8.88,40.03,36.82,40.45,36.82,472379,2.06
6,2016-01-12,002129,9.05,8.98,9.15,8.75,37.52,37.23,37.93,36.28,401902,1.75
7,2016-01-13,002129,9.08,8.8,9.17,8.74,37.64,36.49,38.01,36.24,321463,1.4
8,2016-01-14,002129,8.44,9.12,9.15,8.38,35.0,37.81,37.93,34.75,428170,1.86
9,2016-01-15,002129,9.05,8.52,9.12,8.43,37.52,35.33,37.81,34.96,369607,1.61
10,2016-01-18,002129,8.4,8.75,8.92,8.18,34.84,36.28,36.98,33.93,310093,1.35
11,2016-01-19,002129,8.76,9.17,9.24,8.72,36.32,38.01,38.3,36.16,391773,1.71
12,2016-01-20,002129,9.15,9.0,9.28,8.93,37.93,37.31,38.47,37.02,363575,1.58
13,2016-01-21,002129,8.86,8.83,9.26,8.8,36.73,36.61,38.38,36.49,396387,1.73
14,2016-01-22,002129,8.98,9.22,9.22,8.68,37.23,38.22,38.22,35.99,404139,1.76
15,2016-01-25,002129,9.3,9.25,9.44,9.13,38.55,38.34,39.13,37.85,420018,1.83
16,2016-01-26,002129,9.11,8.33,9.15,8.33,37.77,34.55,37.93,34.55,494274,2.15
17,2016-01-27,002129,8.4,8.2,8.45,7.79,34.84,34.01,35.04,32.32,407194,1.77
18,2016-01-28,002129,8.09,7.76,8.26,7.7,33.56,32.2,34.26,31.95,336726,1.47
19,2016-01-29,002129,7.76,8.16,8.3,7.72,32.2,33.85,34.42,32.03,312998,1.36
20,2016-02-01,002129,8.17,8.12,8.3,7.95,33.89,33.68,34.42,32.98,270811,1.18
21,2016-02-02,002129,8.14,8.4,8.47,8.13,33.76,34.84,35.13,33.72,288419,1.26
22,2016-02-03,002129,8.3,8.33,8.37,8.1,34.42,34.55,34.71,33.6,308644,1.34
23,2016-02-04,002129,8.35,8.52,8.59,8.35,34.63,35.33,35.62,34.63,317273,1.38
24,2016-02-05,002129,8.55,8.4,8.55,8.39,35.46,34.84,35.46,34.8,222973,0.97
25,2016-02-15,002129,8.0,8.27,8.33,8.0,33.19,34.3,34.55,33.19,208937,0.91
26,2016-02-16,002129,8.33,8.69,8.84,8.3,34.55,36.03,36.65,34.42,398083,1.73
27,2016-02-17,002129,8.68,8.86,8.87,8.62,35.99,36.73,36.78,35.74,427256,1.86
28,2016-02-18,002129,8.9,8.88,9.08,8.85,36.9,36.82,37.64,36.69,470269,2.05
29,2016-02-19,002129,8.81,8.77,8.9,8.67,36.53,36.36,36.9,35.95,378713,1.65
30,2016-02-22,002129,8.92,9.1,9.1,8.78,36.98,37.72,37.72,36.4,584042,2.54
31,2016-02-23,002129,9.1,8.91,9.11,8.76,37.72,36.94,37.77,36.32,391801,1.71
32,2016-02-24,002129,8.83,8.95,8.95,8.65,36.61,37.11,37.11,35.87,406419,1.77
33,2016-02-25,002129,8.91,8.06,8.93,8.06,36.94,33.43,37.02,33.43,539266,2.35
34,2016-02-26,002129,8.08,8.12,8.19,7.88,33.52,33.68,33.97,32.69,404157,1.76
35,2016-02-29,002129,8.02,7.63,8.05,7.32,33.27,31.66,33.39,30.38,464216,2.02
36,2016-03-01,002129,7.67,7.7,7.88,7.41,31.83,31.95,32.69,30.75,321129,1.4
37,2016-03-02,002129,7.7,8.1,8.15,7.67,31.95,33.6,33.81,31.83,476080,2.07
38,2016-03-03,002129,8.09,8.11,8.29,8.04,33.56,33.64,34.38,33.35,540208,2.35
39,2016-03-04,002129,8.08,8.01,8.17,7.51,33.52,33.23,33.89,31.17,602177,2.62
40,2016-03-07,002129,8.02,8.1,8.27,7.99,33.27,33.6,34.3,33.15,485965,2.12
41,2016-03-08,002129,8.1,8.11,8.16,7.63,33.6,33.64,33.85,31.66,492252,2.14
42,2016-03-09,002129,7.95,7.9,7.99,7.75,32.98,32.77,33.15,32.16,337992,1.47
43,2016-03-10,002129,7.91,7.89,7.97,7.76,32.82,32.73,33.06,32.2,251406,1.09
44,2016-03-11,002129,7.77,7.9,7.95,7.7,32.24,32.77,32.98,31.95,227756,0.99
45,2016-03-14,002129,8.01,8.13,8.27,7.97,33.23,33.72,34.3,33.06,640068,2.79
46,2016-03-15,002129,8.12,7.96,8.15,7.87,33.68,33.02,33.81,32.65,419655,1.83
