,date,code,open,close,high,low,adjust_open,adjust_close,adjust_high,adjust_low,volume,turnover
0,2016-01-04,002368,67.62,60.39,68.5,60.39,245.77,219.74,248.94,219.74,132889,3.67
1,2016-01-05,002368,54.35,54.35,56.6,54.35,198.0,198.0,206.1,198.0,153056,4.23
2,2016-01-06,002368,54.8,56.74,57.02,51.52,199.62,206.6,207.61,187.81,175700,4.85
3,2016-01-07,002368,55.4,51.07,55.4,51.07,201.78,186.19,201.78,186.19,19795,0.55
4,2016-01-08,002368,51.27,47.66,52.27,45.96,186.91,173.92,190.51,167.8,180135,4.98
5,2016-01-11,002368,45.49,43.0,48.28,42.95,166.1,157.14,176.15,156.96,140472,3.88
6,2016-01-12,002368,42.9,43.77,46.52,42.02,156.78,159.91,169.81,153.61,114060,3.15
7,2016-01-13,002368,44.3,40.99,45.92,40.0,161.82,149.9,167.65,146.34,98054,2.71
8,2016-01-14,002368,38.2,43.29,43.92,38.2,139.86,158.18,160.45,139.86,85295,2.36
9,2016-01-15,002368,42.21,43.93,46.88,42.0,154.3,160.49,171.11,153.54,142886,3.95
10,2016-01-18,002368,43.01,48.0,48.32,42.5,157.18,175.14,176.29,155.34,136197,3.76
11,2016-01-19,002368,47.01,50.99,52.5,47.01,171.58,185.9,191.34,171.58,97492,2.69
12,2016-01-20,002368,50.84,49.0,52.89,48.26,185.36,178.74,192.74,176.08,103183,2.85
13,2016-01-21,002368,48.23,46.88,51.51,46.61,175.97,171.11,187.78,170.14,95672,2.64
14,2016-01-22,002368,47.7,47.21,48.99,43.51,174.06,172.3,178.7,158.98,77241,2.13
15,2016-01-25,002368,47.3,46.75,49.09,46.2,172.62,170.64,179.06,168.66,38933,1.08
16,2016-01-26,002368,46.31,42.08,46.85,42.08,169.06,153.83,171.0,153.83,53930,1.49
17,2016-01-27,002368,42.35,38.61,42.35,37.87,154.8,141.34,154.8,138.67,112518,3.11
18,2016-01-28,002368,37.92,36.03,39.92,35.1,138.85,132.05,146.05,128.7,70024,1.93
19,2016-01-29,002368,36.33,39.0,39.6,36.0,133.13,142.74,144.9,131.94,64778,1.79
20,2016-02-01,002368,38.99,40.38,40.7,38.5,142.7,147.71,148.86,140.94,74753,2.07
21,2016-02-02,002368,39.81,43.21,43.76,39.6,145.66,157.9,159.88,144.9,73783,2.04
22,2016-02-03,002368,42.0,42.65,43.48,40.88,153.54,155.88,158.87,149.51,62659,1.73
23,2016-02-04,002368,42.8,43.9,44.9,42.8,156.42,160.38,163.98,156.42,51454,1.42
24,2016-02-05,002368,44.0,42.26,44.66,41.58,160.74,154.48,163.12,152.03,45054,1.24
25,2016-02-15,002368,40.34,41.2,41.6,40.0,147.56,150.66,152.1,146.34,36156,1.0
26,2016-02-16,002368,41.4,43.2,44.5,41.4,151.38,157.86,162.54,151.38,70598,1.95
27,2016-02-17,002368,43.38,43.21,43.89,41.88,158.51,157.9,160.34,153.11,64839,1.79
28,2016-02-18,002368,44.35,41.31,44.9,41.31,162.0,151.06,163.98,151.06,69182,1.91
29,2016-02-19,002368,41.3,42.09,42.9,39.9,151.02,153.86,156.78,145.98,82774,2.29
30,2016-02-22,002368,42.6,41.92,42.98,41.09,155.7,153.25,157.07,150.26,94314,2.61
31,2016-02-23,002368,42.0,40.58,42.67,39.7,153.54,148.43,155.95,145.26,80766,2.23
32,2016-02-24,002368,40.0,38.4,40.58,36.78,146.34,140.58,148.43,134.75,129865,3.59
33,2016-02-25,002368,38.28,34.56,38.28,34.56,140.15,126.76,140.15,126.76,136207,3.76
34,2016-02-26,002368,34.66,32.93,34.99,32.15,127.12,120.89,128.3,118.08,118547,3.28
35,2016-02-29,002368,32.88,29.64,32.91,29.64,120.71,109.04,120.82,109.04,69105,1.91
36,2016-03-01,002368,29.35,31.04,31.96,28.33,108.0,114.08,117.4,104.33,133959,3.7
37,2016-03-02,002368,30.78,32.8,32.9,30.4,113.15,120.42,120.78,111.78,131378,3.63
38,2016-03-03,002368,33.2,32.15,34.4,32.0,121.86,118.08,126.18,117.54,120969,3.34
39,2016-03-04,002368,31.29,28.94,31.78,28.94,114.98,106.52,116.75,106.52,113034,3.12
40,2016-03-07,002368,29.15,29.8,30.95,29.15,107.28,109.62,113.76,107.28,90644,2.5
41,2016-03-08,002368,29.6,30.58,30.83,27.11,108.9,112.43,113.33,99.94,105500,2.91
42,2016-03-09,002368,29.6,29.84,30.64,29.09,108.9,109.76,112.64,107.06,57730,1.59
43,2016-03-10,002368,29.95,29.75,30.5,29.23,110.16,109.44,112.14,107.57,53446,1.47
44,2016-03-11,002368,29.02,29.96,30.1,28.5,106.81,110.2,110.7,104.94,44819,1.24
45,2016-03-14,002368,30.59,32.02,32.89,30.24,112.46,117.61,120.74,111.2,98299,2.71
46,2016-03-15,002368,31.9,31.63,33.15,31.63,117.18,116.21,121.68,116.21,71853,1.98
