,date,open,high,low,close,volume,adjust_close
0,2005-01-04,996.682,996.682,984.795,986.927,232376203,986.927
1,2005-01-05,986.57,1008.855,985.677,1003.633,348610113,1003.633
2,2005-01-06,1003.49,1003.49,990.792,994.595,293390559,994.595
3,2005-01-07,993.434,1009.0,990.446,997.606,339162698,997.606
4,2005-01-10,996.928,1006.457,993.123,1006.337,294940533,1006.337
5,2005-01-11,1006.211,1009.501,999.86,1008.343,313611521,1008.343
6,2005-01-12,1008.01,1008.743,998.361,1008.62,319639380,1008.62
7,2005-01-13,1008.098,1014.841,1005.348,1013.07,471573361,1013.07
8,2005-01-14,1012.699,1019.48,999.266,1000.169,401693734,1000.169
9,2005-01-17,990.987,991.022,974.333,977.522,435860320,977.522
10,2005-01-18,977.603,991.839,974.149,991.419,451613258,991.419
11,2005-01-19,991.291,991.291,981.227,986.241,425524931,986.241
12,2005-01-20,983.198,983.198,966.887,972.463,465204848,972.463
13,2005-01-21,971.501,989.718,951.427,988.519,618525583,988.519
14,2005-01-24,1009.947,1009.947,998.37,1008.175,732335514,1008.175
15,2005-01-25,1006.0,1006.0,989.946,999.553,469480344,999.553
16,2005-01-26,997.638,997.638,985.669,987.955,411390082,987.955
17,2005-01-27,986.146,986.146,970.354,971.373,412321375,971.373
18,2005-01-28,971.373,971.941,949.112,952.413,407237328,952.413
19,2005-01-31,948.439,948.439,921.58,922.653,409509905,922.653
20,2005-02-01,919.8,929.688,911.933,913.331,419974568,913.331
21,2005-02-02,913.025,964.423,913.025,964.243,655356622,964.243
22,2005-02-03,963.746,967.936,944.764,945.312,637130084,945.312
23,2005-02-04,944.447,963.81,943.472,962.028,519301391,962.028
24,2005-02-16,967.432,979.304,965.939,972.337,469332268,972.337
25,2005-02-17,971.838,977.44,964.324,977.272,403195849,977.272
26,2005-02-18,977.12,977.12,964.554,964.769,411281145,964.769
27,2005-02-21,965.001,981.887,964.471,981.819,476520314,981.819
28,2005-02-22,982.418,1008.671,980.505,1007.688,957578905,1007.688
29,2005-02-23,1008.293,1023.33,1002.801,1019.258,1020182334,1019.258
30,2005-02-24,1018.292,1024.873,1012.445,1024.446,868323283,1024.446
31,2005-02-25,1024.569,1035.474,1023.744,1024.118,965076125,1024.118
32,2005-02-28,1023.191,1026.037,1014.941,1020.847,702805156,1020.847
33,2005-03-01,1020.595,1023.96,1011.561,1021.162,667563690,1021.162
34,2005-03-02,1021.357,1028.329,1005.335,1006.148,745797116,1006.148
