,date,code,open,close,high,low,adjust_open,adjust_close,adjust_high,adjust_low,volume,turnover
0,2020-04-29,603392,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,1289,0.3
1,2020-04-30,603392,13.86,13.86,13.86,13.86,13.86,13.86,13.86,13.86,441,0.1
2,2020-05-06,603392,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,334,0.08
3,2020-05-07,603392,16.78,16.78,16.78,16.78,16.78,16.78,16.78,16.78,292,0.07
4,2020-05-08,603392,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,407,0.09
5,2020-05-11,603392,20.31,20.31,20.31,20.31,20.31,20.31,20.31,20.31,731,0.17
6,2020-05-12,603392,22.34,22.34,22.34,22.34,22.34,22.34,22.34,22.34,701,0.16
7,2020-05-13,603392,24.57,24.57,24.57,24.57,24.57,24.57,24.57,24.57,1101,0.25
8,2020-05-14,603392,27.03,27.03,27.03,27.03,27.03,27.03,27.03,27.03,637,0.15
9,2020-05-15,603392,29.73,29.73,29.73,29.73,29.73,29.73,29.73,29.73,1321,0.3
10,2020-05-18,603392,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,745,0.17
11,2020-05-19,603392,35.97,35.97,35.97,35.97,35.97,35.97,35.97,35.97,817,0.19
12,2020-05-20,603392,39.57,39.57,39.57,39.57,39.57,39.57,39.57,39.57,1217,0.28
13,2020-05-21,603392,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,717,0.16
14,2020-05-22,603392,47.88,47.88,47.88,47.88,47.88,47.88,47.88,47.88,2771,0.64
15,2020-05-25,603392,52.67,52.67,52.67,52.67,52.67,52.67,52.67,52.67,2128,0.49
16,2020-05-26,603392,57.94,57.94,57.94,57.94,57.94,57.94,57.94,57.94,1730,0.4
17,2020-05-27,603392,63.73,63.73,63.73,63.73,63.73,63.73,63.73,63.73,1855,0.43
18,2020-05-28,603392,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,1601,0.37
19,2020-05-29,603392,77.11,77.11,77.11,77.11,77.11,77.11,77.11,77.11,2786,0.64
20,2020-06-01,603392,84.82,84.82,84.82,84.82,84.82,84.82,84.82,84.82,1132,0.26
21,2020-06-02,603392,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,3225,0.74
22,2020-06-03,603392,102.63,102.63,102.63,102.63,102.63,102.63,102.63,102.63,2685,0.62
23,2020-06-04,603392,112.89,112.89,112.89,112.89,112.89,112.89,112.89,112.89,2947,0.68
24,2020-06-05,603392,124.18,124.18,124.18,124.18,124.18,124.18,124.18,124.18,40698,9.33
25,2020-06-08,603392,136.6,136.6,136.6,136.6,136.6,136.6,136.6,136.6,14507,3.33
26,2020-06-09,603392,144.02,145.0,150.13,130.5,144.02,145.0,150.13,130.5,358313,82.18
27,2020-06-10,603392,136.0,133.06,137.6,131.5,136.0,133.06,137.6,131.5,161980,37.15
28,2020-06-11,603392,137.5,139.7,143.6,135.7,137.5,139.7,143.6,135.7,149055,34.19
29,2020-06-12,603392,141.3,153.67,153.67,140.13,141.3,153.67,153.67,140.13,90445,20.74
30,2020-06-15,603392,163.0,169.04,169.04,155.01,163.0,169.04,169.04,155.01,137676,31.58
31,2020-06-16,603392,162.0,162.85,165.56,155.0,162.0,162.85,165.56,155.0,111059,25.47
32,2020-06-17,603392,163.8,164.95,170.0,159.21,163.8,164.95,170.0,159.21,91118,20.9
33,2020-06-18,603392,161.54,158.3,162.98,153.88,161.54,158.3,162.98,153.88,74345,17.05
34,2020-06-19,603392,157.66,159.59,161.48,156.25,157.66,159.59,161.48,156.25,61210,14.04
35,2020-06-22,603392,158.0,158.3,159.5,153.2,158.0,158.3,159.5,153.2,53584,12.29
36,2020-06-23,603392,157.77,150.39,157.95,147.66,157.77,150.39,157.95,147.66,72358,16.6
37,2020-06-24,603392,150.88,154.29,159.44,150.88,150.88,154.29,159.44,150.88,52765,12.1
38,2020-06-29,603392,156.88,166.65,168.8,152.0,156.88,166.65,168.8,152.0,70891,16.26
39,2020-06-30,603392,166.89,165.0,175.0,162.0,166.89,165.0,175.0,162.0,66755,15.31
40,2020-07-01,603392,166.61,169.06,172.33,164.9,166.61,169.06,172.33,164.9,55742,12.78
41,2020-07-02,603392,169.0,165.14,169.5,162.5,169.0,165.14,169.5,162.5,49793,11.42
42,2020-07-03,603392,163.5,160.1,164.0,156.0,163.5,160.1,164.0,156.0,40656,9.32
43,2020-07-06,603392,159.45,164.79,166.8,156.99,159.45,164.79,166.8,156.99,50556,11.6
44,2020-07-07,603392,160.86,171.5,176.33,160.86,160.86,171.5,176.33,160.86,61890,14.19
45,2020-07-08,603392,172.0,173.0,174.95,166.88,172.0,173.0,174.95,166.88,45657,10.47
46,2020-07-09,603392,170.96,190.3,190.3,170.09,170.96,190.3,190.3,170.09,68826,15.79
47,2020-07-10,603392,188.4,202.0,204.83,187.25,188.4,202.0,204.83,187.25,61385,14.08
48,2020-07-13,603392,208.12,222.2,222.2,201.0,208.12,222.2,222.2,201.0,40857,9.37
49,2020-07-14,603392,232.0,233.13,239.0,222.2,232.0,233.13,239.0,222.2,65681,15.06
50,2020-07-15,603392,223.88,216.12,239.99,215.0,223.88,216.12,239.99,215.0,64303,14.75
51,2020-07-16,603392,211.89,200.0,213.95,197.0,211.89,200.0,213.95,197.0,60137,13.79
52,2020-07-17,603392,202.46,220.0,220.0,195.57,202.46,220.0,220.0,195.57,59203,13.58
53,2020-07-20,603392,217.99,201.02,223.2,198.0,217.99,201.02,223.2,198.0,63766,14.63
54,2020-07-21,603392,196.98,209.79,215.56,188.93,196.98,209.79,215.56,188.93,50568,11.6
55,2020-07-22,603392,205.93,216.3,221.1,202.02,205.93,216.3,221.1,202.02,38785,8.9
56,2020-07-23,603392,211.89,229.25,234.66,211.0,211.89,229.25,234.66,211.0,48232,11.06
57,2020-07-24,603392,226.0,210.0,238.99,209.5,226.0,210.0,238.99,209.5,52549,12.05
58,2020-07-27,603392,211.0,222.59,223.33,205.8,211.0,222.59,223.33,205.8,39515,9.06
59,2020-07-28,603392,221.88,214.99,221.95,205.5,221.88,214.99,221.95,205.5,45873,10.52
60,2020-07-29,603392,210.06,221.0,226.49,210.05,210.06,221.0,226.49,210.05,40918,9.38
61,2020-07-30,603392,233.0,243.1,243.1,232.58,233.0,243.1,243.1,232.58,37139,8.52
62,2020-07-31,603392,254.0,262.71,267.41,235.0,254.0,262.71,267.41,235.0,71300,16.35
63,2020-08-03,603392,256.0,288.61,288.68,255.03,256.0,288.61,288.68,255.03,54492,12.5
64,2020-08-04,603392,285.61,260.31,296.8,259.75,285.61,260.31,296.8,259.75,67813,15.55
65,2020-08-05,603392,252.5,261.3,268.6,245.5,252.5,261.3,268.6,245.5,34618,7.94
66,2020-08-06,603392,265.0,255.0,265.0,238.88,265.0,255.0,265.0,238.88,43790,10.04
67,2020-08-07,603392,251.0,265.3,271.86,248.0,251.0,265.3,271.86,248.0,43344,9.94
68,2020-08-10,603392,268.5,255.6,268.5,239.6,268.5,255.6,268.5,239.6,34226,7.85
69,2020-08-11,603392,251.0,249.7,258.44,248.5,251.0,249.7,258.44,248.5,19965,4.58
70,2020-08-12,603392,247.02,228.6,253.4,224.8,247.02,228.6,253.4,224.8,36413,8.35
71,2020-08-13,603392,228.6,215.0,232.0,208.2,228.6,215.0,232.0,208.2,38537,8.84
72,2020-08-14,603392,213.0,207.98,217.46,203.98,213.0,207.98,217.46,203.98,28793,6.6
73,2020-08-17,603392,209.0,217.9,222.0,207.5,209.0,217.9,222.0,207.5,22255,5.1
74,2020-08-18,603392,217.49,218.55,225.29,215.13,217.49,218.55,225.29,215.13,18886,4.33
75,2020-08-19,603392,218.9,205.1,218.9,203.33,218.9,205.1,218.9,203.33,23066,5.29
76,2020-08-20,603392,202.0,209.5,210.48,202.0,202.0,209.5,210.48,202.0,15330,3.52
77,2020-08-21,603392,214.3,211.55,218.03,210.0,214.3,211.55,218.03,210.0,18074,4.15
78,2020-08-24,603392,212.9,206.03,215.49,202.0,212.9,206.03,215.49,202.0,24086,5.52
79,2020-08-25,603392,206.44,205.08,211.0,203.14,206.44,205.08,211.0,203.14,14543,3.34
80,2020-08-26,603392,205.17,198.29,210.15,198.09,205.17,198.29,210.15,198.09,19683,4.51
81,2020-08-27,603392,196.57,198.31,200.98,191.57,196.57,198.31,200.98,191.57,15307,3.51
82,2020-08-28,603392,200.2,218.14,218.14,200.05,200.2,218.14,218.14,200.05,28499,6.54
83,2020-08-31,603392,221.0,217.53,225.0,213.8,221.0,217.53,225.0,213.8,22264,5.11
84,2020-09-01,603392,217.54,220.81,225.5,216.53,217.54,220.81,225.5,216.53,15012,3.44
